xs,ys
10,8.0
11,7.5
12,6.0
13,4.5
14,5.5
15,6.5
16,8.0
17,9.0
18,9.0
19,9.0
20,8.5
21,7.5
22,6.0
23,4.5
24,5.0
25,5.5
26,6.5
27,7.5
28,8.0
29,8.5
30,9.0
31,8.5
32,8.0
33,7.5
34,7.5
35,8.0
36,8.5
37,9.5
38,10.5
39,11.5
40,12.5
41,13.5
42,15.0
43,16.5
44,17.0
45,17.0
46,17.0
47,18.5
48,22.0
49,26.0
50,29.0
51,31.0
52,32.5
53,34.0
54,32.0
55,29.0
56,26.5
57,27.0
58,31.0
59,34.5
60,36.0
61,34.0
62,31.5
63,28.5
64,30.0
65,32.0
66,34.0
67,33.5
68,32.0
69,30.5
70,29.5
71,29.0
72,28.5
73,28.5
74,30.0
75,32.0
76,33.5
77,37.5
78,43.5
79,50.0
80,54.0
81,54.0
82,53.0
83,52.5
84,53.0
85,54.5
86,56.0
87,61.0
88,68.0
89,75.5
90,78.5
91,76.5
92,71.5
93,67.5
94,63.0
95,60.0
96,56.5
97,58.0
98,62.5
99,66.5
100,66.5
101,61.0
102,54.5
103,49.5
104,46.5
105,44.0
106,41.5
107,43.0
108,46.0
109,50.0
110,52.0
111,53.5
112,54.0
113,54.5
114,54.5
115,53.5
116,52.5
117,52.0
118,52.5
119,53.0
120,53.5
121,54.0
122,54.5
123,55.5
124,57.5
125,59.5
126,63.5
127,72.0
128,87.0
129,102.0
130,105.0
131,94.5
132,78.5
133,67.0
134,61.5
135,60.0
136,59.0
137,61.5
138,65.5
139,70.5
140,74.0
141,78.0
142,82.0
143,89.5
144,100.0
145,114.0
146,126.0
147,136.0
148,144.5
149,151.0
150,148.0
151,133.0
152,117.0
153,104.5
154,98.5
155,95.5
156,93.0
157,94.5
158,99.0
159,103.5
160,106.5
161,109.5
162,111.5
163,113.0
164,110.0
165,106.0
166,104.5
167,113.5
168,131.5
169,148.5
170,150.5
171,138.5
172,122.5
173,110.0
174,102.0
175,96.5
176,93.0
177,94.0
178,99.0
179,104.5
180,105.0
181,103.0
182,99.0
183,97.0
184,99.0
185,101.5
186,104.0
187,104.0
188,103.5
189,102.5
190,97.5
191,88.5
192,78.5
193,73.5
194,76.5
195,83.0
196,91.5
197,102.5
198,117.0
199,131.5
200,130.0
201,111.5
202,90.5
203,75.5
204,67.5
205,64.0
206,61.0
207,62.0
208,65.5
209,68.0
210,67.0
211,61.0
212,53.5
213,49.0
214,47.5
215,48.0
216,49.0
217,50.0
218,52.0
219,54.0
220,52.5
221,48.5
222,44.0
223,42.0
224,44.5
225,47.5
226,49.5
227,49.0
228,47.5
229,46.0
230,44.0
231,43.0
232,41.0
233,39.5
234,39.5
235,40.0
236,40.5
237,42.0
238,43.5
239,44.5
240,43.0
241,38.5
242,33.5
243,30.5
244,30.5
245,31.5
246,34.0
247,39.0
248,46.0
249,52.5
250,53.0
251,47.0
252,40.0
253,35.5
254,36.0
255,37.5
256,40.5
257,45.5
258,51.5
259,56.5
260,57.0
261,53.5
262,49.5
263,48.0
264,48.5
265,49.5
266,50.5
267,50.5
268,51.5
269,51.0
270,47.5
271,41.5
272,35.5
273,33.5
274,34.5
275,37.5
276,41.5
277,46.5
278,52.5
279,58.0
280,57.0
281,50.5
282,44.0
283,39.5
284,38.0
285,37.5
286,38.5
287,44.5
288,53.5
289,61.0
290,62.0
291,58.0
292,52.0
293,49.0
294,47.5
295,46.5
296,45.5
297,46.5
298,47.5
299,48.0
300,45.0
301,39.0
302,34.0
303,32.0
304,33.5
305,34.5
306,37.5
307,42.5
308,48.0
309,54.5
310,61.5
311,69.5
312,77.0
313,76.5
314,67.5
315,57.0
316,54.0
317,62.5
318,76.5
319,86.5
320,83.0
321,66.0
322,49.0
323,40.5
324,37.0
325,35.5
326,36.0
327,40.5
328,46.0
329,51.0
330,56.0
331,60.0
332,64.0
333,70.0
334,77.0
335,84.5
336,90.5
337,94.5
338,96.5
339,97.5
340,92.0
341,82.5
342,73.5
343,66.5
344,63.0
345,59.5
346,57.5
347,59.5
348,61.5
349,64.5
350,67.0
351,70.5
352,74.0
353,78.0
354,83.0
355,88.0
356,92.0
357,92.5
358,92.5
359,91.5
360,90.0
361,88.0
362,86.0
363,85.0
364,84.0
365,83.5
366,86.0
367,95.5
368,108.5
369,117.5
370,116.0
371,103.0
372,89.5
373,81.5
374,77.0
375,74.0
376,74.0
377,79.0
378,86.0
379,89.5
380,87.0
381,80.5
382,74.0
383,69.0
384,65.0
385,61.0
386,59.5
387,61.0
388,62.5
389,64.0
390,66.0
391,68.0
392,70.0
393,74.0
394,79.5
395,85.5
396,87.5
397,86.0
398,83.0
399,78.0
400,72.0
401,63.0
402,55.0
403,51.5
404,53.0
405,55.0
406,57.0
407,59.0
408,61.0
409,62.5
410,60.0
411,56.0
412,52.0
413,47.5
414,43.5
415,39.0
416,39.0
417,43.0
418,48.0
419,52.5
420,54.0
421,54.5
422,55.5
423,59.0
424,64.0
425,69.0
426,71.0
427,68.5
428,65.5
429,63.0
430,60.0
431,56.5
432,55.0
433,59.0
434,69.5
435,80.5
436,84.0
437,78.5
438,71.0
439,64.5
440,59.0
441,54.5
442,51.0
443,48.0
444,46.5
445,45.0
446,45.0
447,48.0
448,51.5
449,54.0
450,55.0
451,55.0
